# 1:time 2:hplus 3:hcross
1.3353381234e-01 -8.3698097490e-01 -3.9887447111e-01
1.3354308408e-01 -8.4450474687e-01 -3.9279031395e-01
1.3355235151e-01 -8.5181027939e-01 -3.8664604331e-01
1.3356163072e-01 -8.5889265820e-01 -3.8048490440e-01
1.3357089612e-01 -8.6578208345e-01 -3.7435562232e-01
1.3358016405e-01 -8.7243832378e-01 -3.6827573679e-01
1.3358945846e-01 -8.7886160823e-01 -3.6216829959e-01
1.3359873402e-01 -8.8506945631e-01 -3.5602104245e-01
1.3360800544e-01 -8.9111406835e-01 -3.4992457935e-01
1.3361727844e-01 -8.9712558256e-01 -3.4387581902e-01
1.3362655475e-01 -9.0303690310e-01 -3.3786744636e-01
1.3363583307e-01 -9.0871193443e-01 -3.3188638316e-01
1.3364512616e-01 -9.1414062268e-01 -3.2595628822e-01
1.3365439009e-01 -9.1938211360e-01 -3.2004446409e-01
1.3366365125e-01 -9.2448544055e-01 -3.1413013411e-01
1.3367291745e-01 -9.2950421808e-01 -3.0820320680e-01
1.3368220001e-01 -9.3441504294e-01 -3.0225807029e-01
1.3369149324e-01 -9.3915360795e-01 -2.9625947117e-01
1.3370076161e-01 -9.4367461903e-01 -2.9016947113e-01
1.3371002591e-01 -9.4795885333e-01 -2.8397234035e-01
1.3371928649e-01 -9.5203476467e-01 -2.7762638852e-01
1.3372855849e-01 -9.5587805734e-01 -2.7115131632e-01
1.3373781557e-01 -9.5941348014e-01 -2.6455083662e-01
1.3374709438e-01 -9.6260958024e-01 -2.5785325955e-01
1.3375640892e-01 -9.6550762367e-01 -2.5109153132e-01
1.3376569609e-01 -9.6813494902e-01 -2.4424373390e-01
1.3377495448e-01 -9.7047575209e-01 -2.3731679994e-01
1.3378421449e-01 -9.7250345419e-01 -2.3036014889e-01
1.3379347246e-01 -9.7424453086e-01 -2.2336536688e-01
1.3380273733e-01 -9.7576470307e-01 -2.1625307712e-01
1.3381201374e-01 -9.7708121488e-01 -2.0898219217e-01
1.3382128677e-01 -9.7819567920e-01 -2.0156856248e-01
1.3383057099e-01 -9.7911810461e-01 -1.9404285139e-01
1.3383985215e-01 -9.7978426157e-01 -1.8630910894e-01
1.3384913501e-01 -9.8012916497e-01 -1.7836170708e-01
1.3385841554e-01 -9.8017657689e-01 -1.7027110043e-01
1.3386768689e-01 -9.7995884139e-01 -1.6205484178e-01
1.3387698216e-01 -9.7952748445e-01 -1.5375987329e-01
1.3388624422e-01 -9.7887967520e-01 -1.4530575435e-01
1.3389551677e-01 -9.7795386112e-01 -1.3671007990e-01
1.3390480086e-01 -9.7683558087e-01 -1.2802196012e-01
1.3391407125e-01 -9.7560051596e-01 -1.1931095736e-01
1.3392333312e-01 -9.7420275366e-01 -1.1058503243e-01
1.3393260919e-01 -9.7264315135e-01 -1.0182174133e-01
1.3394187862e-01 -9.7085316506e-01 -9.2950572882e-02
1.3395116651e-01 -9.6874332247e-01 -8.3949824489e-02
1.3396044678e-01 -9.6634440543e-01 -7.4795315019e-02
1.3396971692e-01 -9.6366416995e-01 -6.5525594315e-02
1.3397901418e-01 -9.6066933205e-01 -5.6262387615e-02
1.3398831162e-01 -9.5732889072e-01 -4.7047171825e-02
1.3399760316e-01 -9.5375166829e-01 -3.8064465305e-02
1.3400653380e-01 -9.4979965734e-01 -2.8987103615e-02
1.3401583432e-01 -9.4557144317e-01 -2.0206770897e-02
1.3402511176e-01 -9.4092609447e-01 -1.1344835225e-02
1.3403441976e-01 -9.3598724180e-01 -2.5575889311e-03
1.3404374671e-01 -9.3072882752e-01 6.2609154435e-03
1.3405307181e-01 -9.2514048738e-01 1.5097568495e-02
1.3406236238e-01 -9.1927287814e-01 2.3905836272e-02
1.3407165123e-01 -9.1316348533e-01 3.2689473964e-02
1.3408095250e-01 -9.0676489048e-01 4.1529596230e-02
1.3409022970e-01 -9.0007231353e-01 5.0390859973e-02
1.3409951114e-01 -8.9310240189e-01 5.9177775571e-02
1.3410879983e-01 -8.8581502406e-01 6.7891550246e-02
1.3411808238e-01 -8.7819570836e-01 7.6523319360e-02
1.3412737707e-01 -8.7035022392e-01 8.5055986940e-02
1.3413666122e-01 -8.6227107534e-01 9.3531797350e-02
1.3414596142e-01 -8.5390376620e-01 1.0194427129e-01
1.3415526961e-01 -8.4527574078e-01 1.1028017326e-01
1.3416457869e-01 -8.3639042791e-01 1.1853848135e-01
1.3417385068e-01 -8.2717038621e-01 1.2681491649e-01
1.3418312552e-01 -8.1762318614e-01 1.3517903544e-01
1.3419242741e-01 -8.0770394232e-01 1.4364816267e-01
1.3420174424e-01 -7.9752775332e-01 1.5225864551e-01
1.3421103769e-01 -7.8710037201e-01 1.6090575215e-01
1.3422032329e-01 -7.7632553592e-01 1.6946987422e-01
1.3422963470e-01 -7.6517326077e-01 1.7801686533e-01
1.3423894748e-01 -7.5363458845e-01 1.8659118710e-01
1.3424823461e-01 -7.4175951485e-01 1.9525894653e-01
1.3425753208e-01 -7.2951598871e-01 2.0402314975e-01
1.3426683477e-01 -7.1690000349e-01 2.1281916893e-01
1.3427611346e-01 -7.0397919394e-01 2.2164009989e-01
1.3428541082e-01 -6.9082972618e-01 2.3050008838e-01
1.3429469910e-01 -6.7743050481e-01 2.3942966495e-01
1.3430399183e-01 -6.6381593843e-01 2.4838259636e-01
1.3431328122e-01 -6.4999603068e-01 2.5731737260e-01
1.3432255894e-01 -6.3596253298e-01 2.6625811128e-01
1.3433186944e-01 -6.2170827860e-01 2.7527445980e-01
1.3434117524e-01 -6.0716987617e-01 2.8447327879e-01
1.3435048372e-01 -5.9246935003e-01 2.9380419348e-01
1.3435976283e-01 -5.7765213405e-01 3.0327021453e-01
1.3436904061e-01 -5.6281132213e-01 3.1290376696e-01
1.3437831128e-01 -5.4793417697e-01 3.2268988834e-01
1.3438758297e-01 -5.3295310357e-01 3.3260389866e-01
1.3439685843e-01 -5.1787294521e-01 3.4267010665e-01
1.3440612915e-01 -5.0276860529e-01 3.5285909716e-01
1.3441538853e-01 -4.8772425338e-01 3.6315937302e-01
1.3442466430e-01 -4.7279101412e-01 3.7353120570e-01
1.3443396403e-01 -4.5793334986e-01 3.8394248971e-01
1.3444323906e-01 -4.4311219919e-01 3.9440999793e-01
1.3445251249e-01 -4.2839653604e-01 4.0487768111e-01
1.3446179679e-01 -4.1379593669e-01 4.1532097938e-01
1.3447106400e-01 -3.9929703117e-01 4.2574542527e-01
1.3448036147e-01 -3.8503649664e-01 4.3610672983e-01
1.3448965551e-01 -3.7101387129e-01 4.4646260818e-01
1.3449894692e-01 -3.5727182018e-01 4.5680284968e-01
1.3450823199e-01 -3.4385009555e-01 4.6706640951e-01
1.3451752272e-01 -3.3073978822e-01 4.7722392945e-01
1.3452680834e-01 -3.1790905705e-01 4.8731663546e-01
1.3453609262e-01 -3.0547999292e-01 4.9733382402e-01
1.3454535528e-01 -2.9350649894e-01 5.0727391616e-01
1.3455464963e-01 -2.8196386849e-01 5.1707808511e-01
1.3456392965e-01 -2.7078649299e-01 5.2676187406e-01
1.3457319190e-01 -2.6009202669e-01 5.3628338868e-01
1.3458249639e-01 -2.4994546420e-01 5.4557723837e-01
1.3459178401e-01 -2.4028742532e-01 5.5464377742e-01
1.3460106027e-01 -2.3119951774e-01 5.6340469517e-01
1.3461034058e-01 -2.2272613076e-01 5.7188202886e-01
1.3461965759e-01 -2.1486707580e-01 5.8007755764e-01
1.3462894387e-01 -2.0758301876e-01 5.8794640694e-01
1.3463821824e-01 -2.0097030822e-01 5.9544979729e-01
1.3464749882e-01 -1.9503471885e-01 6.0259986585e-01
1.3465677408e-01 -1.8970327638e-01 6.0939295412e-01
1.3466603774e-01 -1.8497103607e-01 6.1585248721e-01
1.3467531116e-01 -1.8091501430e-01 6.2197023171e-01
1.3468460885e-01 -1.7761095641e-01 6.2772981479e-01
1.3469388320e-01 -1.7506210219e-01 6.3313585102e-01
1.3470314915e-01 -1.7320495967e-01 6.3818455409e-01
1.3471244137e-01 -1.7198672500e-01 6.4286505492e-01
1.3472174410e-01 -1.7144872497e-01 6.4717019816e-01
1.3473102019e-01 -1.7158691448e-01 6.5108729121e-01
1.3474029422e-01 -1.7238991121e-01 6.5453604814e-01
1.3474960202e-01 -1.7384364787e-01 6.5747623729e-01
1.3475886598e-01 -1.7597786554e-01 6.5996869436e-01
1.3476815567e-01 -1.7887614736e-01 6.6201208802e-01
1.3477744254e-01 -1.8252799412e-01 6.6360855335e-01
1.3478671819e-01 -1.8692084080e-01 6.6474680340e-01
1.3479600831e-01 -1.9205202235e-01 6.6542920263e-01
1.3480530323e-01 -1.9787419325e-01 6.6564388348e-01
1.3481458203e-01 -2.0434075051e-01 6.6536026782e-01
1.3482385609e-01 -2.1137751470e-01 6.6455309183e-01
1.3483313650e-01 -2.1893786281e-01 6.6325077237e-01
1.3484239734e-01 -2.2705202011e-01 6.6143582177e-01
1.3485168369e-01 -2.3566878840e-01 6.5907774953e-01
1.3486096169e-01 -2.4479489181e-01 6.5623476977e-01
1.3487024961e-01 -2.5443231862e-01 6.5294107550e-01
1.3487952095e-01 -2.6460831788e-01 6.4918524204e-01
1.3488880427e-01 -2.7519166503e-01 6.4495911834e-01
1.3489808189e-01 -2.8615037771e-01 6.4022941729e-01
1.3490736438e-01 -2.9748175014e-01 6.3500511999e-01
1.3491664500e-01 -3.0918119758e-01 6.2925225123e-01
1.3492594846e-01 -3.2121424374e-01 6.2304523021e-01
1.3493524937e-01 -3.3355599628e-01 6.1645040994e-01
1.3494454708e-01 -3.4615843635e-01 6.0948368850e-01
1.3495383088e-01 -3.5898404955e-01 6.0207810548e-01
1.3496313784e-01 -3.7188919519e-01 5.9419209052e-01
1.3497243316e-01 -3.8489221287e-01 5.8582541805e-01
1.3498171423e-01 -3.9797327890e-01 5.7694913584e-01
1.3499101336e-01 -4.1085716727e-01 5.6774427209e-01
1.3500000000e-01 -4.2402969573e-01 5.5798248965e-01
1.3500931762e-01 -4.3693328814e-01 5.4813679889e-01
1.3501860699e-01 -4.5001442060e-01 5.3789053691e-01
1.3502790482e-01 -4.6299262811e-01 5.2740099111e-01
1.3503722596e-01 -4.7582187014e-01 5.1666019603e-01
1.3504650972e-01 -4.8848624383e-01 5.0571085289e-01
1.3505577304e-01 -5.0093382404e-01 4.9462728646e-01
1.3506504198e-01 -5.1322303712e-01 4.8335586332e-01
1.3507434969e-01 -5.2524322550e-01 4.7197552036e-01
1.3508362493e-01 -5.3699036661e-01 4.6058327022e-01
1.3509289047e-01 -5.4846074602e-01 4.4926318457e-01
1.3510215023e-01 -5.5972933182e-01 4.3797446828e-01
1.3511145951e-01 -5.7069952779e-01 4.2677043552e-01
1.3512076814e-01 -5.8130162661e-01 4.1565346214e-01
1.3513004180e-01 -5.9157449571e-01 4.0459323682e-01
1.3513931370e-01 -6.0151791786e-01 3.9358448533e-01
1.3514862496e-01 -6.1105307629e-01 3.8276644369e-01
1.3515793120e-01 -6.2015984828e-01 3.7223880898e-01
1.3516724563e-01 -6.2879827315e-01 3.6203965209e-01
1.3517654321e-01 -6.3693958368e-01 3.5214604162e-01
1.3518581091e-01 -6.4456814542e-01 3.4259273459e-01
1.3519508481e-01 -6.5173395097e-01 3.3341292473e-01
