# 1:time 2:hplus 3:hcross
3.5426872430e-01 -1.3668995919e+00 1.8913073791e+00
3.5427722744e-01 -1.2405337743e+00 1.8199466763e+00
3.5428573054e-01 -1.1187929393e+00 1.7388263328e+00
3.5429423361e-01 -1.0027405623e+00 1.6483468089e+00
3.5430273664e-01 -8.9289866323e-01 1.5490742837e+00
3.5431123965e-01 -7.8985113063e-01 1.4419837396e+00
3.5431974262e-01 -6.9427691785e-01 1.3278330864e+00
3.5432824557e-01 -6.0638433817e-01 1.2072948842e+00
3.5433674850e-01 -5.2603132231e-01 1.0809397716e+00
3.5434525140e-01 -4.5325132710e-01 9.4925741811e-01
3.5435375428e-01 -3.8833632517e-01 8.1321939437e-01
3.5436225714e-01 -3.3119169527e-01 6.7379343569e-01
3.5437075998e-01 -2.8134736850e-01 5.3167242566e-01
3.5437926280e-01 -2.3831945103e-01 3.8772523986e-01
3.5438776561e-01 -2.0187399334e-01 2.4293188679e-01
3.5439626840e-01 -1.7171226862e-01 9.8393481910e-02
3.5440477118e-01 -1.4697541103e-01 -4.4659126840e-02
3.5441327396e-01 -1.2652606459e-01 -1.8506466368e-01
3.5442177672e-01 -1.0950145624e-01 -3.2218705378e-01
3.5443027949e-01 -9.5282115485e-02 -4.5549547345e-01
3.5443878225e-01 -8.3302398079e-02 -5.8379854549e-01
3.5444728501e-01 -7.3132901453e-02 -7.0603463851e-01
3.5445578777e-01 -6.4346842125e-02 -8.2129764761e-01
3.5446429054e-01 -5.6247870363e-02 -9.2870463421e-01
3.5447279331e-01 -4.8270662161e-02 -1.0277048338e+00
3.5448129610e-01 -3.9926003316e-02 -1.1175917580e+00
3.5448979891e-01 -3.0626245506e-02 -1.1974585623e+00
3.5449830173e-01 -2.0177904352e-02 -1.2667412183e+00
3.5450680456e-01 -8.8025937118e-03 -1.3250679840e+00
3.5451530741e-01 3.4449866905e-03 -1.3718463374e+00
3.5452381028e-01 1.6863272015e-02 -1.4067311322e+00
3.5453231316e-01 3.1823762025e-02 -1.4292874821e+00
3.5454081607e-01 4.8461547045e-02 -1.4392604968e+00
3.5454931899e-01 6.6698214421e-02 -1.4368083356e+00
3.5455782192e-01 8.6411213112e-02 -1.4218091331e+00
3.5456632488e-01 1.0750832429e-01 -1.3945000619e+00
3.5457482785e-01 1.3004913031e-01 -1.3553167850e+00
3.5458333083e-01 1.5425818307e-01 -1.3046566252e+00
3.5459183384e-01 1.8061808122e-01 -1.2427479154e+00
3.5460033685e-01 2.0966328354e-01 -1.1694920934e+00
3.5460883988e-01 2.4163843212e-01 -1.0856866576e+00
3.5461734292e-01 2.7692368499e-01 -9.9237633253e-01
3.5462584597e-01 3.1578718963e-01 -8.8998162865e-01
3.5463434903e-01 3.5841877320e-01 -7.7922704733e-01
3.5464285210e-01 4.0517704343e-01 -6.6069489485e-01
3.5465135518e-01 4.5604768977e-01 -5.3456127623e-01
3.5465985826e-01 5.1124396909e-01 -4.0133232145e-01
3.5466836134e-01 5.7073641849e-01 -2.6202526751e-01
3.5467686441e-01 6.3411828600e-01 -1.1719282408e-01
3.5468536748e-01 7.0100994622e-01 3.2830557410e-02
3.5469387054e-01 7.7100930886e-01 1.8712556454e-01
3.5470237358e-01 8.4359992897e-01 3.4493887524e-01
3.5471087661e-01 9.1787939950e-01 5.0547906035e-01
3.5471937960e-01 9.9299497635e-01 6.6767861336e-01
3.5472788255e-01 1.0678935305e+00 8.3058120826e-01
3.5473638543e-01 1.1410655430e+00 9.9305874891e-01
3.5474488826e-01 1.2109436730e+00 1.1538397809e+00
3.5475339103e-01 1.2763645340e+00 1.3117418940e+00
3.5476189374e-01 1.3362182502e+00 1.4654940133e+00
3.5477039639e-01 1.3892614553e+00 1.6136939483e+00
3.5477889897e-01 1.4341992647e+00 1.7549518781e+00
3.5478740150e-01 1.4699516606e+00 1.8882027616e+00
3.5479590397e-01 1.4959503397e+00 2.0124555956e+00
3.5480440638e-01 1.5118092505e+00 2.1267053257e+00
3.5481290873e-01 1.5170223836e+00 2.2299015311e+00
3.5482141102e-01 1.5109027378e+00 2.3209219603e+00
3.5482991326e-01 1.4933802958e+00 2.3987706188e+00
3.5483841544e-01 1.4648229974e+00 2.4626201415e+00
3.5484691757e-01 1.4256532717e+00 2.5117655762e+00
3.5485541964e-01 1.3765267425e+00 2.5454442442e+00
3.5486392167e-01 1.3177410632e+00 2.5625429558e+00
3.5487242365e-01 1.2499497765e+00 2.5626037221e+00
3.5488092558e-01 1.1744284123e+00 2.5460571606e+00
3.5488942748e-01 1.0921936330e+00 2.5130983101e+00
3.5489792935e-01 1.0043235336e+00 2.4637174271e+00
3.5490643119e-01 9.1246109454e-01 2.3984777370e+00
3.5491493300e-01 8.1809624513e-01 2.3179977960e+00
3.5492343480e-01 7.2234075040e-01 2.2228095382e+00
3.5493193659e-01 6.2664138898e-01 2.1140319051e+00
3.5494043837e-01 5.3243994023e-01 1.9930122314e+00
3.5494894011e-01 4.4066329778e-01 1.8612661751e+00
3.5495744182e-01 3.5230719184e-01 1.7200936550e+00
3.5496594348e-01 2.6834769423e-01 1.5704396746e+00
3.5497444510e-01 1.8939471579e-01 1.4133932214e+00
3.5498294668e-01 1.1623051274e-01 1.2504725586e+00
3.5499144822e-01 4.9759552594e-02 1.0835268778e+00
3.5499994971e-01 -7.0713203036e-03 9.2218817432e-01
3.5500765129e-01 -5.9736635852e-02 7.5135769365e-01
3.5501615268e-01 -1.0356455615e-01 5.8813547308e-01
3.5502465402e-01 -1.4323427696e-01 4.1817303107e-01
3.5503315530e-01 -1.7628411508e-01 2.5129856344e-01
3.5504165654e-01 -2.0280535333e-01 8.8400475783e-02
3.5505015773e-01 -2.2290956792e-01 -7.0021337744e-02
3.5505865886e-01 -2.3725739341e-01 -2.2274597230e-01
3.5506715995e-01 -2.4650118900e-01 -3.6839616119e-01
3.5507566098e-01 -2.5128892396e-01 -5.0618613074e-01
3.5508416196e-01 -2.5225209324e-01 -6.3522920793e-01
3.5509266289e-01 -2.4932925692e-01 -7.5454078168e-01
3.5510116377e-01 -2.4258791044e-01 -8.6326429123e-01
3.5510966460e-01 -2.3252838288e-01 -9.6062684634e-01
3.5511816538e-01 -2.1956453903e-01 -1.0460318526e+00
3.5512666611e-01 -2.0396567312e-01 -1.1188939341e+00
3.5513516679e-01 -1.8635871938e-01 -1.1785434674e+00
3.5514366742e-01 -1.6686335439e-01 -1.2242215143e+00
3.5515216800e-01 -1.4521039664e-01 -1.2550318340e+00
3.5516066853e-01 -1.2162384852e-01 -1.2705288741e+00
3.5516916900e-01 -9.6157424608e-02 -1.2703542782e+00
3.5517766942e-01 -6.8460203870e-02 -1.2543879486e+00
3.5518616979e-01 -3.8555432798e-02 -1.2229032132e+00
3.5519467010e-01 -6.7144713694e-03 -1.1764097439e+00
3.5520317036e-01 2.7034142966e-02 -1.1159606932e+00
3.5521167055e-01 6.2193613050e-02 -1.0424865404e+00
3.5522017069e-01 9.8441801719e-02 -9.5669784913e-01
3.5522867076e-01 1.3600476735e-01 -8.5968411705e-01
3.5523717078e-01 1.7469379023e-01 -7.5280791325e-01
3.5524567073e-01 2.1430706005e-01 -6.3705709076e-01
3.5525417062e-01 2.5470791139e-01 -5.1357204453e-01
3.5526267045e-01 2.9585888932e-01 -3.8397410708e-01
3.5527117022e-01 3.3769222272e-01 -2.4979669210e-01
