,f0,tau,A,h_rss,h_rss_crop,S,N
29,70,1.0,6e-22,1.4999961218581997e-22,1.4997445044179297e-22,2.2492335785317816e-44,2.874325635968076e-37
30,70,1.0,7.000000000000001e-22,1.749995475501246e-22,1.7497019218209185e-22,3.0614568152238156e-44,2.874325635968076e-37
31,70,1.0,7.999999999999999e-22,1.9999948291442868e-22,1.9996593392239063e-22,3.9986374729453894e-44,2.874325635968076e-37
32,235,0.001,8.000000000000001e-21,5.236561199145564e-23,5.235949703255764e-23,2.7415169295024123e-45,9.724532752388394e-40
33,235,0.001,1.0000000000000001e-20,6.545701498931955e-23,6.544937129069705e-23,4.283620202347519e-45,9.724532752388394e-40
34,235,0.001,1.2e-20,7.854841798718346e-23,7.853924554883644e-23,6.168413091380425e-45,9.724532752388394e-40
35,235,0.001,1.3999999999999998e-20,9.163982098504737e-23,9.162911980697584e-23,8.395895596601134e-45,9.724532752388394e-40
36,235,0.2,3.9999999999999997e-22,4.47211013456388e-23,4.471359954021156e-23,1.9993059838424074e-45,8.520925065597142e-38
37,235,0.2,6e-22,6.708165201845821e-23,6.707039931031734e-23,4.4984384636454174e-45,8.520925065597142e-38
38,235,0.2,7.999999999999999e-22,8.94422026912776e-23,8.942719908042312e-23,7.99722393536963e-45,8.520925065597142e-38
39,235,0.2,1.0000000000000001e-21,1.11802753364097e-22,1.117839988505289e-22,1.2495662399015048e-44,8.520925065597142e-38
40,235,0.5,3.9999999999999997e-22,7.071061211381245e-23,7.069875071807717e-23,4.998313353096817e-45,1.636690737968687e-37
41,235,0.5,6e-22,1.0606591817071812e-22,1.0604812607711576e-22,1.124620504446784e-44,1.636690737968687e-37
42,235,0.5,7.999999999999999e-22,1.414212242276249e-22,1.4139750143615433e-22,1.9993253412387268e-44,1.636690737968687e-37
43,235,0.5,1.0000000000000001e-21,1.7677653028453076e-22,1.7674687679519293e-22,3.123945845685511e-44,1.636690737968687e-37
44,235,1.0,3.9999999999999997e-22,9.999997626112235e-23,9.998320171475736e-23,9.99664062513386e-45,2.874325635968076e-37
45,235,1.0,6e-22,1.4999996439168236e-22,1.4997480257213607e-22,2.249244140655119e-44,2.874325635968076e-37
46,235,1.0,7.999999999999999e-22,1.999999525222447e-22,1.9996640342951472e-22,3.998656250053544e-44,2.874325635968076e-37
47,235,1.0,1.0000000000000001e-21,2.4999994065280554e-22,2.4995800428689347e-22,6.247900390708665e-44,2.874325635968076e-37
48,849,0.2,2.0000000000000002e-21,2.2360658074141188e-22,2.235690062260065e-22,4.998310054488413e-44,8.520925065597142e-38
49,849,0.2,2.5000000000000002e-21,2.79508225926765e-22,2.794612577825081e-22,7.809859460138143e-44,8.520925065597142e-38
50,849,0.2,3e-21,3.354098711121179e-22,3.353535093390096e-22,1.124619762259892e-43,8.520925065597142e-38
51,849,0.2,3.4999999999999996e-21,3.9131151629747104e-22,3.912457608955113e-22,1.530732454187076e-43,8.520925065597142e-38
52,849,0.5,2.0000000000000002e-21,3.535532905980068e-22,3.5349398256877944e-22,1.2495799571233654e-43,1.636690737968687e-37
